175,115,249,101,45,58,172,11,134,185
224,227,183,180,78,187,102,97,216,100
136,149,130,72,136,128,16,7,126,133
160,163,141,108,48,47,16,107,207,8
162,197,198,133,53,129,241,208,3,107
97,214,215,178,207,100,127,122,35,40
10,17,208,77,80,38,174,3,179,216
118,213,187,109,110,120,217,226,41,112
84,238,9,245,245,170,185,25,253,184
66,113,85,172,175,214,102,87,79,212
151,44,122,171,243,29,42,88,73,178
188,30,33,218,28,141,45,90,48,108
185,195,76,69,131,143,160,60,47,165
104,172,219,138,130,242,225,159,142,249
128,254,118,175,158,136,165,21,88,149
181,12,246,232,221,176,187,150,101,33
