94,244,130,34,72,104,136,43,84,29,16,138,16,158,245,50,70,154,57,137
37,72,205,20,234,25,214,113,13,87,113,107,137,1,16,116,92,212,118,137
76,227,57,98,175,9,39,196,104,229,202,8,164,20,207,130,191,17,186,49
17,12,1,248,96,112,136,100,252,169,11,16,177,148,220,69,64,190,196,234
117,143,167,172,171,183,120,2,140,47,213,96,123,146,224,57,99,176,239,32
153,171,83,230,77,199,115,173,240,193,211,246,184,123,26,47,101,251,69,230
79,81,211,37,23,36,255,214,231,63,201,170,151,63,141,112,41,24,163,246
78,223,81,197,23,209,90,180,98,135,179,93,106,201,208,225,154,192,167,234
133,41,201,41,88,125,155,174,41,8,228,47,114,225,137,221,176,103,77,75
165,124,148,2,98,172,191,38,192,184,84,131,172,5,253,201,8,29,206,193
240,179,92,130,227,248,33,229,86,160,236,231,210,70,117,194,52,43,37,239
75,198,189,119,200,224,14,245,63,244,70,246,219,158,49,4,86,145,86,31
246,85,156,78,85,188,250,230,68,152,188,99,0,175,100,106,182,125,218,146
197,254,112,65,28,172,12,194,223,245,53,119,237,182,45,211,105,108,48,154
72,44,76,55,49,232,42,221,73,168,70,206,225,92,71,89,211,205,65,52
66,151,10,237,140,92,195,183,219,46,38,179,248,123,118,28,37,168,45,193
