120,96,154,211,45,25,34,56,238,89,229,39,201,82,193
106,215,18,101,235,191,162,9,246,202,71,45,129,232,177
81,217,93,180,235,214,167,120,74,161,54,81,12,121,26
147,64,228,146,124,189,46,243,157,158,250,1,69,51,144
70,201,125,24,144,113,11,25,64,93,95,111,230,197,28
222,101,78,86,3,69,158,52,171,174,29,165,125,164,203
198,174,21,2,1,78,158,251,214,240,87,251,91,148,224
29,139,177,167,102,215,235,166,52,1,212,128,179,196,178
134,59,82,195,156,242,57,151,98,3,135,127,106,192,244
54,4,236,169,98,79,154,174,219,174,125,139,152,62,99
50,61,165,142,160,66,245,238,84,18,1,174,124,144,163
132,50,199,237,215,160,127,213,117,7,158,102,69,250,157
27,47,89,49,144,245,50,233,243,232,80,196,233,243,254
69,101,195,155,95,241,41,152,205,75,130,219,240,164,53
150,50,219,49,192,166,1,201,158,201,139,179,229,36,2
173,232,163,30,138,23,91,108,70,160,255,126,251,41,244
