102,91,35,67,241,226,100,147,185,121,29,120,202,141,171,43,113,54,142,163
135,169,203,222,245,62,255,3,166,254,107,198,79,133,163,177,14,172,93,32
209,253,213,151,12,181,148,111,16,43,252,143,114,191,182,118,4,210,115,132
109,181,133,153,201,70,221,176,14,222,181,250,105,182,114,233,26,107,48,239
117,167,56,136,54,199,211,77,52,96,2,105,159,194,86,80,184,222,171,121
215,34,115,63,238,249,206,150,48,94,46,178,255,67,212,250,175,85,10,237
50,243,200,139,88,147,46,165,158,209,230,230,138,140,207,40,113,176,138,232
21,222,150,132,104,46,161,134,156,58,235,57,244,43,202,129,215,171,13,252
73,40,53,255,86,15,141,10,180,56,179,183,108,8,86,60,128,214,124,22
147,35,230,36,145,198,237,190,233,104,52,16,191,84,16,231,151,148,196,241
229,159,65,15,146,125,139,159,30,118,56,30,161,15,234,245,90,27,143,172
176,64,189,89,155,102,109,203,16,18,113,213,130,253,146,39,207,99,215,196
54,117,173,253,81,3,91,202,119,37,69,65,37,11,214,252,45,191,34,142
134,206,242,30,80,224,139,213,248,233,226,90,210,253,140,187,27,117,55,75
105,215,251,37,102,132,199,68,219,151,17,36,172,63,245,137,49,210,185,222
24,44,106,91,46,60,77,218,143,253,164,185,145,83,63,151,193,204,152,118
