67,193,19,198,5,205,88,83,175,72,97,248,1,178,90,201,250,91,70,134
145,82,180,99,136,203,88,67,102,17,146,143,14,229,210,206,65,187,41,120
88,205,116,76,49,135,119,31,167,17,8,216,42,222,147,206,192,18,11,199
140,86,217,6,190,229,66,180,126,220,194,153,188,98,60,205,23,178,118,65
186,50,143,250,224,123,230,86,176,241,10,108,187,181,218,93,76,112,78,103
94,79,20,78,111,61,12,63,119,134,112,193,235,28,135,171,85,255,55,208
177,182,55,74,151,28,176,93,224,149,219,39,197,94,235,106,228,203,217,161
218,228,26,82,212,207,116,185,169,230,55,108,85,255,149,186,1,216,187,153
232,32,171,72,34,205,103,166,24,3,12,18,134,188,109,206,175,225,186,234
19,221,206,38,115,193,189,77,162,180,232,90,1,39,99,17,84,9,22,54
63,11,81,175,122,64,66,167,177,54,250,196,111,163,115,99,154,231,91,173
190,72,152,113,175,239,228,159,241,246,188,77,84,225,149,132,224,120,144,115
163,215,0,228,117,33,146,214,236,29,142,205,194,69,193,221,159,186,237,203
164,240,224,81,209,13,235,222,60,228,186,40,29,171,85,110,198,135,178,210
8,254,25,147,119,127,14,182,91,198,111,175,29,159,78,203,179,20,251,61
66,132,184,73,188,201,208,205,89,15,2,100,32,38,192,228,174,127,133,47
